,Textos_espanol,sdg,palabras
0,"Se basa en los nueve años de educación básica (seis de primaria y tres de secundaria). Los alumnos que acceden al segundo ciclo de secundaria pueden ir a un centro de orientación más académica o a un centro de formación profesional. Esto se aplica tanto en el sistema islámico como en el no islámico. La enseñanza secundaria superior formal comprende la enseñanza general (sekolah menengah atas, o SMA), la enseñanza profesional (sekolah menengah kejuruan, o SMK), las escuelas secundarias superiores islámicas (madrasah aliyah, o MA) y la enseñanza profesional islámica (madrasah aliyah kejuruan, o MAK). Este capítulo se centra principalmente en la enseñanza secundaria superior académica, mientras que el capítulo 5 trata de la formación profesional. Se está trabajando en el desarrollo de colegios comunitarios y vías alternativas de acceso a la enseñanza superior. ",,"['colegio', 'mientr', 'ma ', 'atas', 'primari', 'academ', 'cicl', 'tratar', 'general', 'secundario', 'seis', 'kejuruan', 'aplicar', 'trabajar', 'capitulo', 'acced', 'centr', 'bas', 'sistema', 'ciclo', 'acceder', 'aliyah', 'poder', 'ensen', 'acces', 'madrasah', 'via', 'colegi', 'alumn', 'comprend', 'segundo', 'ma', 'islamica', 'islamico', 'nuev', 'primario', 'comunitario', 'educ', 'islam', 'mak', 'basica', 'comunitari', 'sekolah', 'educacion', 'pued', 'vias', 'alternativa', 'sma', 'desarrollo', 'mas', 'alumno', 'academicar', 'kejuru', 'basic', 'islamicar', 'secundaria', 'ir', 'escuela', 'tres', 'formacion', 'menengah', 'ensenanza', 'superior', 'escuel', 'altern', 'trabaj', 'smk', 'comprender', 'orient', 'capitul', 'ano', 'desarroll', 'centrar', 'centro', 'mientras', 'anos', 'nueve', 'orientacion', 'principalmente', 'secundari', 'segund', 'ata', 'principal', 'acceso', 'sistem', 'bás', 'profesional', 'formal', 'aplic', 'trat']"
1,"En la última década, y en particular desde 2010, el número de altas per cápita ha tendido a disminuir, y ahora está en línea con la media de la OCDE mencionada anteriormente. Por ejemplo, los habitantes de zonas rurales representan el 43% de la población, pero sólo el 32% de las altas hospitalarias. A falta de información complementaria, no es posible determinar si esta diferencia indica o no disparidades en el acceso de las poblaciones rurales y, en caso afirmativo, si las causas son geográficas, culturales o infraestructurales. No parece que se recojan datos sobre el acceso a la atención desde el punto de vista del paciente, lo que ayudaría a comprender la naturaleza de los obstáculos al acceso (y las soluciones). En general, no es posible determinar con los datos disponibles si los ingresos o las características socioeconómicas de los pacientes influyen a la hora de llegar a las puertas del hospital o de ser ingresado. El acceso desigual probablemente se deba también a la incapacidad de los centros de las distintas regiones para prestar los mismos servicios. ",,"['ingresado', 'solución', 'población', 'habit', 'hospitalari', 'per', 'anteriormente', 'ahor', 'sol', 'tambi', 'obstacul', 'indicar', 'tend', 'general', 'hospitalaria', 'falt', 'dispar', 'centr', 'medio', 'cas', 'debo', 'región', 'servicio', 'ayudari', 'infraestructural', 'diferent', 'informacion', 'influ', 'socioeconomica', 'decado', 'zon', 'alto', 'ahora', 'geografica', 'tambien', 'incapacidad', 'habitante', 'acces', 'caus', 'mismo', 'line', 'puerta', 'solo', 'prest', 'anterior', 'naturalez', 'ocde', 'comprend', 'incapac', 'ejemplo', 'dec', 'servici', 'ingres', 'ultimo', 'disparidad', 'inform', 'ayudario', 'numer', 'dispon', 'caracterist', 'paciente', 'llegar', 'causa', 'mencionado', 'cultural', 'ser', 'hospital', 'deb', 'altas', 'disminu', 'prestar', 'probablemente', 'ejempl', 'dato', 'atencion', 'tendido', 'capito', 'caso', 'recoj', 'solucion', 'visto', 'dat', 'disponible', 'ultim', 'diferencia', 'influir', 'posible', 'afirmativo', 'represent', 'distinto', 'determinar', 'distint', 'zona', 'hor', 'punto', 'comprender', 'disminuir', 'determin', 'rural', 'indic', 'centro', 'falta', 'posibl', 'complementario', 'mism', 'mencion', 'naturaleza', 'punt', 'pacient', 'socioeconom', 'recojar', 'caracteristica', 'parecer', 'afirm', 'probabl', 'hora', 'numero', 'particul', 'lleg', 'ingreso', 'acceso', 'capit', 'vist', 'complementari', 'parec', 'puert', 'si', 'particular', 'desigual', 'poblacion', 'geograf', 'medi', 'region', 'obstaculo', 'representar']"
2,"AsÃ, por ejemplo, el estigma asociado a los beneficiarios de prestaciones sociales o a los pobres aumenta su desventaja. Del mismo modo, los errores de dignidad y reconocimiento pueden causar desventajas.54 La infravaloraciÃ³n del trabajo de las mujeres es un error de reconocimiento que causa directamente desventajas socioeconÃ³micas, por lo que el derecho a la igualdad de retribuciÃ³n por un trabajo de igual valor es una sÃntesis importante de las dos primeras dimensiones del derecho a la igualdad: reparar la desventaja y abordar el estigma y los estereotipos. Tanto el Comité de Derechos Económicos, Sociales y Culturales como el Comité para la Eliminación de la Discriminación contra la Mujer han dado este paso. Directrices para la presentación de informes"", párrafo 29, CDESC, Ecuador, op. cit. ",,"['presentacion', 'aument', 'mujer', 'economico', 'reparar', 'cometer', 'pobre', 'dimension', 'prestación', 'trabajar', 'dar', 'primer', 'dimensión', 'derecho', 'retribucion', 'parraf', 'socioeconomica', 'derech', 'valor', 'abord', 'poder', 'beneficiari', 'present', 'directric', 'estigma', 'mismo', 'social', 'caus', 'eliminacion', 'discriminacion', 'dad', 'ejemplo', 'directamente', 'paso', 'discrimin', 'inform', 'repar', 'mod', 'asoci', 'informe', 'causa', 'infravaloracion', 'santesis', 'cultural', 'modo', 'ejempl', 'dignidad', 'econom', 'causar', 'ecuador', 'estigm', 'desventaj', 'pued', 'asa', 'muj', 'dignid', 'cit', 'direct', 'abordar', 'iguald', 'igual', 'elimin', 'trabaj', 'pas', 'parrafo', 'pobr', 'igualdad', 'directriz', 'mism', 'comit', 'desventaja', 'socioeconom', 'dos', 'primero', 'cdesc', 'desventajas54', 'estereotip', 'prestacion', 'error', 'reconoc', 'estereotipo', 'importante', 'infravalor', 'santesi', 'asociado', 'reconocimiento', 'aumentar', 'import', 'op', 'beneficiario']"
3,"Hay muchos profesores no cualificados en las escuelas, ya que es difícil contratar a profesores cualificados. Un indicio del reconocimiento del importante papel de los profesores en este contexto es la inclusiÃ³n por Alberta de preguntas adicionales en la Encuesta Internacional sobre la EnseÃ±anza y el Aprendizaje de la OCDE de 2018 relativas a la comprensiÃ³n por parte de los profesores y los lÃderes escolares de cuestiones relacionadas con las culturas indÃgenas, la historia y el trabajo con alumnos indÃgenas, asÃ como sobre el desarrollo profesional pertinente. El enfoque holÃstico de los pueblos indÃgenas hace hincapiÃ© en lo mucho que estos contribuyen al bienestar general de los niÃ±os, asÃ como al de todos los demÃ¡s, ademÃ¡s de factores como las ventajas y desventajas materiales. El trauma sufrido por los pueblos indígenas, incluso a través del sistema de escuelas residenciales, todavía es sentido agudamente por muchos. De hecho, se nos dijo que los síntomas del trauma pueden aumentar en lugar de disminuir con el paso del tiempo, exacerbados por las relaciones intergeneracionales. Frente a este panorama más amplio, pueden comprenderse mejor los estudios específicos de determinadas provincias y territorios, y la comparación entre jóvenes indígenas y no indígenas (Freeman, King y Pickett, 2016). ",,"['exacerbado', 'aument', 'exacerb', 'agud', 'freemar', 'ventaja', 'pregunt', 'general', 'freem', 'trabajar', 'material', 'relat', 'trauma ', 'panoramar', 'cultur', 'territorio', 'sistema', 'traum', 'amplio', 'cultura', 'estudi', 'contribuir', 'relacion', 'hacer', 'albertar', 'aprendizaje', 'estudio', 'papel', 'escolar', 'poder', 'encuest', 'sufr', 'ensen', 'relación', 'provincia', 'histori', 'cualific', 'contribu', 'king', 'ocde', 'alumn', 'inclus', 'sintom', 'lug', 'comprend', 'parte', 'paso', 'mejor', 'contrat', 'aprendizaj', 'pickett', 'contexto', 'cuestion', 'panoram', 'bienestar', 'cuestión', 'determinado', 'indagena', 'indigen', 'encuesta', 'contratar', 'adicional', 'nino', 'historia', 'bienest', 'dema', 'context', 'disminu', 'incluso', 'cualificado', 'dificil', 'enfocar', 'profesor', 'desventaj', 'pued', 'asa', 'intergeneracional', 'tiempo', 'dem', 'especif', 'factor', 'desarrollo', 'albert', 'pertinent', 'mas', 'puebl', 'pueblo', 'tiemp', 'alumno', 'hech', 'escuela', 'indici', 'indagen', 'pertinente', 'lader', 'sintoma', 'compar', 'ensenanza', 'escuel', 'relativo', 'decir', 'trabaj', 'holast', 'ampli', 'sufrir', 'indigena', 'pas', 'disminuir', 'determin', 'especifico', 'desarroll', 'lugar', 'enfoqu', 'ventaj', 'todavi', 'territori', 'provinci', 'nin', 'agudamente', 'todavio', 'desventaja', 'hac', 'internacional', 'hecho', 'holastico', 'joven', 'hincapie', 'part', 'residencial', 'inclusion', 'dij', 'indicio', 'comprension', 'trav', 'comparacion', 'reconoc', 'relacionado', 'importante', 'hincapi', 'sistem', 'frent', 'profesional', 'adema', 'frente', 'reconocimiento', 'comprender él', 'aumentar', 'import', 'adem', 'pregunta']"
4,"A raíz de su preocupación por el hecho de que los médicos de todo el sistema sanitario japonés no fueran capaces de identificar los signos de sufrimiento psicológico que podrían ayudar a reducir los suicidios, la Asociación Médica Japonesa informa de que empezó a compartir información y orientaciones sobre la depresión con todos los médicos, primero en 2004 y luego de nuevo en 2009. En la actualidad, sólo se recogen indicadores sobre la tasa de reclusión y contención, y de ingresos involuntarios, por parte de los proveedores y a nivel prefectural. La información recopilada sistemáticamente sobre el sistema de atención de salud mental se limita a indicadores estructurales: instalaciones, número de personal, número de camas. ",,"['recoger', 'empez', 'salud', 'psicolog', 'indicador', 'compartir', 'raiz', 'sol', 'cama', 'depresion', 'primer', 'involuntari', 'sistema', 'actualidad', 'orientación', 'informacion', 'reducir', 'japon', 'recog', 'japón', 'instalación', 'tas', 'suicidi', 'identific', 'compart', 'solo', 'personal', 'recopilado', 'medico', 'parte', 'ayudar', 'ingres', 'luego', 'contencion', 'inform', 'nuev', 'numer', 'nuevo', 'asoci', 'japonés', 'suicidio', 'reclusion', 'psicologico', 'sistematicamente', 'actual', 'atencion', 'cam', 'capac', 'sistemat', 'preocupacion', 'sufrimient', 'preocup', 'reduc', 'asociacion', 'hech', 'ayud', 'capaz', 'sanitari', 'orient', 'instal', 'sign', 'limit', 'indic', 'prefectural', 'sanitario', 'informar', 'limitar', 'recopil', 'tasa', 'involuntario', 'lueg', 'nivel', 'estructural', 'hecho', 'primero', 'empezo', 'part', 'japones', 'numero', 'ingreso', 'identificar', 'podriar', 'sistem', 'podri', 'medic', 'proveedor', 'signo', 'sufrimiento', 'mental']"
5,"Hay que eliminar las prÃ¡cticas discriminatorias de las instituciones financieras, como el requisito de que los hombres firmen los documentos de las mujeres. Pero las instituciones financieras formales tienen que hacer algo mÃ¡s que reducir las barreras de entrada a las mujeres micropropietarias. Deben mejorar su rendimiento a la hora de financiar el crecimiento de las empresas propiedad de mujeres. ",,"['practic', 'mujer', 'institución', 'propiedad', 'requisitir', 'empres', 'document', 'micropropietari', 'hac', 'mejor', 'financ', 'hombr', 'empresa', 'barrer', 'mas', 'firmar', 'requisit', 'institu', 'hombre', 'hora', 'reduc', 'financiar', 'crecimiento', 'practica', 'documento', 'discriminatori', 'deber', 'entrada', 'eliminar', 'mejorar', 'propied', 'entrad', 'micropropietaria', 'financiera', 'crecimient', 'reducir', 'deb', 'hacer', 'firm', 'elimin', 'formal', 'hor', 'barrera', 'rendimiento', 'rendimient', 'financi', 'discriminatorio']"
6,"Los centros de educación básica alternativa (EBA) ofrecen tres años con un plan de estudios alternativo en sustitución de los cuatro años que dura el primer ciclo ordinario de primaria. El nivel secundario consta de dos ciclos de dos aÃ±os cada uno: 9Â ""10 y 11-12. Los que completan diez aÃ±os de escolaridad pueden acceder al segundo ciclo para prepararse para la enseÃ±anza superior, o ingresar en centros de EFTP para recibir formaciÃ³n para un empleo productivo (vÃ©ase la figura 8.1). ",,"['81', 'eba', 'complet', 'preparar él', '9a', 'cada', 'educacion', 'duro', 'centro', 'ingresar', 'pued', 'ano', 'vear', 'veas', 'anos', 'primari', 'nivel', 'segundo', 'alternativa', 'cicl', 'cad', 'ingres', 'secundario', 'productivo', 'alternativo', 'completar', 'dos', 'empleo', 'ofrec', 'ordinario', 'cuatro', 'secundari', 'segund', 'emple', 'primero', 'escolaridad', 'acced', 'recib', 'centr', 'primario', 'dur', 'basic', 'figurar', 'eftp', 'prim', 'tres', 'ciclo', 'cuatr', 'acceder', 'formacion', 'educ', 'estudi', 'const', '1112', 'ordinari', 'superior', 'diez', 'ensenanza', 'ofrecer', 'basica', 'altern', 'estudio', 'sustitucion', 'escolar', 'plan', 'poder', 'constar', 'recibir', 'figur', 'ensen', 'prepar', 'product']"
7,"El uso de estadísticas de género puede proporcionar una comprensión más completa de las dimensiones de género de la pobreza, lo que a su vez puede cambiar significativamente las prioridades en las intervenciones políticas y programáticas (Klugman, 2002). Las estadísticas de género pueden abordar múltiples dimensiones de la pobreza y la desigualdad, incluida la desigualdad de activos basada en el género, la asignación de recursos dentro del hogar, la pobreza de tiempo o la vulnerabilidad a los choques externos. Comprender la naturaleza de género de la pobreza mejorará significativamente tanto la equidad como la eficacia de las estrategias de reducción de la pobreza (Klugman, 2002). Las estadísticas de género desempeñan un papel importante en el desarrollo y el seguimiento de las políticas de reducción de la violencia contra las mujeres. ",,"['polit', 'mujer', 'multipl', 'activ', 'prioridad', 'vulner', 'dimension', 'desempen', 'hogar', 'programatica', 'vulnerabilidad', 'proporcion', 'recurs', 'dimensión', 'politica', 'bas', 'reduccion', 'pobreza', 'desempenar', 'klugm', 'abord', 'papel', 'equidad', 'poder', 'complet', 'completo', 'recurso', 'choque', 'intervencion', 'naturalez', 'cambi', 'gener', 'comprend', 'klugman', 'mejor', 'activo', 'genero', 'desiguald', 'mejorar', 'dentr', 'estrategia', 'asignacion', 'proporcionar', 'pued', 'programat', 'seguimient', 'extern', 'tiempo', 'dentro', 'hog', 'desigualdad', 'desarrollo', 'choqu', 'vez', 'mas', 'pobrez', 'tiemp', 'asign', 'abordar', 'externo', 'uso', 'incluir', 'basado', 'comprender', 'signific', 'desarroll', 'inclu', 'equid', 'estadistica', 'naturaleza', 'intervención', 'estadist', 'violenci', 'eficacia', 'cambiar', 'comprension', 'importante', 'estrategi', 'significativamente', 'eficaci', 'import', 'violencia', 'seguimiento']"
8,"Cabe preguntarse, sin embargo, si los alumnos con más talento del país asisten a estos centros, ya que los estudiantes desfavorecidos tienen un acceso más limitado a las clases extraescolares para prepararse para la admisión. Además, la proporción de alumnos con mejores resultados en las evaluaciones internacionales sigue siendo muy pequeña, mientras que un gran número se queda rezagado con respecto a sus compañeros de otros países. Los sistemas educativos que mejoran más rápidamente en PISA muestran que las mejoras en la parte superior e inferior de la escala de rendimiento pueden ir de la mano. ",,"['talent', 'muestr', 'rapidamente', 'mientr', 'companer', 'pregunt', 'pis', 'gran', 'mano', 'companero', 'mostrar', 'proporcion', 'inferior', 'centr', 'pais', 'man', 'estudiante', 'sistema', 'estudi', 'poder', 'qued', 'respecto', 'prepar', 'acces', 'pisar', 'alumn', 'escal', 'parte', 'mejor', 'desfavorecido', 'numer', 'asist', 'sig', 'mejorar', 'escala', 'educ', 'evaluación', 'ser', 'preguntar él', 'embargo', 'rezagado', 'clase', 'pued', 'embarg', 'quedar', 'evalu', 'mas', 'talento', 'cab', 'result', 'alumno', 'asistir', 'pequén', 'ir', 'siend', 'pequen', 'pai', 'superior', 'clas', 'rezag', 'rendimiento', 'preparar él', 'limit', 'centro', 'mejora', 'caber', 'limitado', 'mientras', 'resultado', 'educativo', 'extraescolar', 'respect', 'internacional', 'part', 'rapid', 'numero', 'seguir', 'admision', 'acceso', 'sistem', 'país', 'si', 'desfavorec', 'adema', 'rendimient', 'adem']"
9,"A pesar de que hay más pensionistas mujeres que hombres, los ingresos totales de las pensionistas son inferiores a los de los hombres (ASUB 2014: 5). En 2011, la pensión media de las mujeres era de 1.220 euros al mes, frente a los 1.744 euros de los hombres (ASUB 2013: 23). En el informe de la ASUB (2013:21) puede encontrarse un examen más detallado de la diferencia salarial medida sobre la base de diferentes principios y parámetros. ",,"['mujer', '1220', 'principio', 'total', 'parametr', 'pension', 'pued', 'diferente', 'mes', 'principi', 'encontrar él', 'euros', 'medir', 'ingres', 'hombr', 'diferencia', 'mas', 'med', 'inferior', 'pensionista', 'inform', 'hombre', 'base', '201321', 'asub', 'eur', 'medio', 'pesar', 'bas', 'ingreso', 'examir', '1744', 'detallado', 'pes', 'diferent', 'frent', 'frente', 'detall', 'informir', 'parametro', 'exam', 'encontr', 'poder', 'medi', 'salarial']"
